fips,year,state_abbr,s2_state_rank_pct,s2_mom_rank_pct,s2_score,quiet,universe_B,has_feb_price,s2_eligible,s2_rank_quiet_B,s2_quintile_quiet_B,s2_pct_quiet_B,s2_as_of
30071,2025,MT,0.4395765472312704,0.6577661999348746,0.5486713735830725,True,True,True,True,396.0,2.0,0.797331965110313,2026-02-28
30073,2025,MT,0.4395765472312704,0.8717030283295344,0.6556397877804023,False,True,True,False,,,,2026-02-28
30075,2025,MT,0.4395765472312704,0.9739498534679257,0.706763200349598,False,True,True,False,,,,2026-02-28
30077,2025,MT,0.4395765472312704,0.8625854770433083,0.6510810121372894,False,True,True,False,,,,2026-02-28
30079,2025,MT,0.4395765472312704,0.22435688700748943,0.3319667171193799,True,True,True,True,1108.0,3.0,0.43201641867624424,2026-02-28
30081,2025,MT,0.4395765472312704,0.32367307066102247,0.3816248089461464,True,True,True,True,943.0,3.0,0.5166752180605438,2026-02-28
30083,2025,MT,0.4395765472312704,0.08173233474438293,0.26065444098782664,True,True,True,True,1312.0,4.0,0.32734735761929196,2026-02-28
30085,2025,MT,0.4395765472312704,0.2927385216541843,0.36615753444272736,True,True,True,True,987.0,3.0,0.49409953822473063,2026-02-28
30087,2025,MT,0.4395765472312704,0.257896450667535,0.34873649894940273,True,True,True,True,1045.0,3.0,0.46434068753206775,2026-02-28
30089,2025,MT,0.4395765472312704,0.38130901986323673,0.41044278354725355,True,True,True,True,861.0,3.0,0.5587480759363777,2026-02-28
30091,2025,MT,0.4395765472312704,0.2380332139368284,0.3388048805840494,True,True,True,True,1083.0,3.0,0.4448435094920472,2026-02-28
30093,2025,MT,0.4395765472312704,0.6870726147834582,0.5633245810073643,False,True,True,False,,,,2026-02-28
30095,2025,MT,0.4395765472312704,0.7463366981439271,0.5929566226875987,False,True,True,False,,,,2026-02-28
30097,2025,MT,0.4395765472312704,0.9648323021816998,0.7022044247064851,False,True,True,False,,,,2026-02-28
30099,2025,MT,0.4395765472312704,0.8756105503093455,0.657593548770308,False,True,True,False,,,,2026-02-28
30101,2025,MT,0.4395765472312704,0.918593292087268,0.6790849196592692,False,True,True,False,,,,2026-02-28
30103,2025,MT,0.4395765472312704,0.4340605665906871,0.4368185569109787,True,True,True,True,762.0,2.0,0.6095433555669574,2026-02-28
30105,2025,MT,0.4395765472312704,0.4168023445131879,0.4281894458722291,True,True,True,True,790.0,3.0,0.595177013853258,2026-02-28
30107,2025,MT,0.4395765472312704,0.3135786388798437,0.37657759305555705,True,True,True,True,962.0,3.0,0.5069266290405336,2026-02-28
30109,2025,MT,0.4395765472312704,0.918918918918919,0.6792477330750947,False,True,True,False,,,,2026-02-28
30111,2025,MT,0.4395765472312704,0.4819277108433735,0.46075212903732193,True,True,True,True,674.0,2.0,0.6546947152385839,2026-02-28
31001,2025,NE,0.41596091205211727,0.7040052100293064,0.5599830610407118,False,True,True,False,,,,2026-02-28
31003,2025,NE,0.41596091205211727,0.6551611852816672,0.5355610486668922,True,True,True,True,428.0,2.0,0.7809132888660851,2026-02-28
31007,2025,NE,0.41596091205211727,0.9889286877238684,0.7024447998879928,False,True,True,False,,,,2026-02-28
31011,2025,NE,0.41596091205211727,0.8104851839791599,0.6132230480156386,False,True,True,False,,,,2026-02-28
31013,2025,NE,0.41596091205211727,0.5688700748941713,0.4924154934731443,True,True,True,True,579.0,2.0,0.7034376603386352,2026-02-28
31015,2025,NE,0.41596091205211727,0.015304461087593618,0.21563268656985546,True,True,True,True,1439.0,4.0,0.26218573627501285,2026-02-28
31017,2025,NE,0.41596091205211727,0.6278085314229892,0.5218847217375533,True,True,True,True,478.0,2.0,0.7552591072344792,2026-02-28
31019,2025,NE,0.41596091205211727,0.6587430804298274,0.5373519962409723,True,True,True,True,418.0,2.0,0.7860441251924064,2026-02-28
31021,2025,NE,0.41596091205211727,0.927710843373494,0.6718358777128056,False,True,True,False,,,,2026-02-28
31023,2025,NE,0.41596091205211727,0.9840442852491045,0.7000025986506109,False,True,True,False,,,,2026-02-28
31025,2025,NE,0.41596091205211727,0.5936177140996418,0.5047893130758796,True,True,True,True,536.0,2.0,0.7255002565418163,2026-02-28
31027,2025,NE,0.41596091205211727,0.7219146857701074,0.5689377989111124,False,True,True,False,,,,2026-02-28
31029,2025,NE,0.41596091205211727,0.26408336046890263,0.3400221362605099,True,True,True,True,1078.0,3.0,0.4474089276552078,2026-02-28
31031,2025,NE,0.41596091205211727,0.7447085639856724,0.5803347380188948,False,True,True,False,,,,2026-02-28
31033,2025,NE,0.41596091205211727,0.701074568544448,0.5585177402982826,False,True,True,False,,,,2026-02-28
31035,2025,NE,0.41596091205211727,0.9071963529794855,0.6615786325158014,False,True,True,False,,,,2026-02-28
31037,2025,NE,0.41596091205211727,0.9687398241615109,0.6923503681068142,False,True,True,False,,,,2026-02-28
31039,2025,NE,0.41596091205211727,0.8378378378378378,0.6268993749449776,False,True,True,False,,,,2026-02-28
31041,2025,NE,0.41596091205211727,0.28134158254640185,0.34865124729925956,True,True,True,True,1046.0,3.0,0.4638276038994356,2026-02-28
31043,2025,NE,0.41596091205211727,0.737870400521003,0.57691565628656,False,True,True,False,,,,2026-02-28
31045,2025,NE,0.41596091205211727,0.4444806252035168,0.430220768627817,True,True,True,True,784.0,3.0,0.5982555156490508,2026-02-28
31047,2025,NE,0.41596091205211727,0.6128296971670466,0.5143953046095819,True,True,True,True,505.0,2.0,0.741405849153412,2026-02-28
31049,2025,NE,0.41596091205211727,0.6313904265711494,0.5236756693116333,True,True,True,True,473.0,2.0,0.7578245253976398,2026-02-28
31051,2025,NE,0.41596091205211727,0.7209378052751547,0.568449358663636,False,True,True,False,,,,2026-02-28
31053,2025,NE,0.41596091205211727,0.7922500814067079,0.6041054967294126,False,True,True,False,,,,2026-02-28
31055,2025,NE,0.41596091205211727,0.5577987626180397,0.4868798373350785,True,False,True,False,,,,2026-02-28
31057,2025,NE,0.41596091205211727,0.24552263106479974,0.3307417715584585,True,True,True,True,1113.0,3.0,0.42945100051308366,2026-02-28
31059,2025,NE,0.41596091205211727,0.9355258873331163,0.6757433996926168,False,True,True,False,,,,2026-02-28
31061,2025,NE,0.41596091205211727,0.9869749267339629,0.7014679193930401,False,True,True,False,,,,2026-02-28
31063,2025,NE,0.41596091205211727,0.3598176489742755,0.3878892805131964,True,True,True,True,924.0,3.0,0.5264238070805541,2026-02-28
31065,2025,NE,0.41596091205211727,0.014327580592640833,0.21514424632237905,True,True,True,True,1442.0,4.0,0.2606464853771165,2026-02-28
31067,2025,NE,0.41596091205211727,0.8410941061543471,0.6285275091032322,False,True,True,False,,,,2026-02-28
31069,2025,NE,0.41596091205211727,0.2497557798762618,0.3328583459641895,True,True,True,True,1103.0,3.0,0.4345818368394048,2026-02-28
31071,2025,NE,0.41596091205211727,0.8896125040703354,0.6527867080612264,False,True,True,False,,,,2026-02-28
31073,2025,NE,0.41596091205211727,0.9791598827743406,0.697560397413229,False,True,True,False,,,,2026-02-28
31077,2025,NE,0.41596091205211727,0.16769781830022795,0.29182936517617264,True,True,True,True,1225.0,4.0,0.3719856336582863,2026-02-28
31079,2025,NE,0.41596091205211727,0.7124715076522306,0.5642162098521739,False,True,True,False,,,,2026-02-28
31081,2025,NE,0.41596091205211727,0.8964506675350049,0.6562057897935611,False,True,True,False,,,,2026-02-28
31083,2025,NE,0.41596091205211727,0.810159557147509,0.6130602345998131,False,True,True,False,,,,2026-02-28
31085,2025,NE,0.41596091205211727,0.9719960924780202,0.6939785022650687,False,True,True,False,,,,2026-02-28
31087,2025,NE,0.41596091205211727,0.6252035167697818,0.5205822144109495,True,True,True,True,483.0,2.0,0.7526936890713186,2026-02-28
31089,2025,NE,0.41596091205211727,0.30022793878215565,0.35809442541713643,True,True,True,True,1009.0,3.0,0.482811698306824,2026-02-28
31091,2025,NE,0.41596091205211727,0.28264408987300554,0.34930250096256144,True,True,True,True,1041.0,3.0,0.4663930220625962,2026-02-28
31093,2025,NE,0.41596091205211727,0.5597525236079453,0.48785671783003126,True,True,True,True,588.0,2.0,0.6988199076449462,2026-02-28
31095,2025,NE,0.41596091205211727,0.5376098990556822,0.47678540555389975,True,True,True,True,623.0,2.0,0.680861980502822,2026-02-28
31097,2025,NE,0.41596091205211727,0.4685770107456854,0.4422689613989014,True,True,True,True,737.0,2.0,0.6223704463827604,2026-02-28
31099,2025,NE,0.41596091205211727,0.774014978834256,0.5949879454431866,False,True,True,False,,,,2026-02-28
31101,2025,NE,0.41596091205211727,0.6284597850862911,0.5222103485692042,True,True,True,True,477.0,2.0,0.7557721908671113,2026-02-28
31103,2025,NE,0.41596091205211727,0.9736242266362748,0.6947925693441961,False,True,True,False,,,,2026-02-28
31105,2025,NE,0.41596091205211727,0.5210029306414848,0.46848192134680106,True,True,True,True,645.0,2.0,0.6695741405849154,2026-02-28
31107,2025,NE,0.41596091205211727,0.44643438619342235,0.4311976491227698,True,True,True,True,777.0,2.0,0.6018471010774756,2026-02-28
31109,2025,NE,0.41596091205211727,0.6476717681536959,0.5318163401029066,True,True,True,True,442.0,2.0,0.7737301180092355,2026-02-28
31111,2025,NE,0.41596091205211727,0.7746662324975578,0.5953135722748375,False,True,True,False,,,,2026-02-28
