batch_id,census_input_address,census_match_status,census_match_type,census_matched_address,census_coordinates,census_lon,census_lat,census_tigerline_id,census_tigerline_side,census_state_fips,census_county_fips,candidate_fips,census_tract,census_block,census_raw_field_count
143302__2023__116,"2211 NORTH OAK PARK AVENUE, CHICAGO, IL, 60707",Match,Exact,"2211 N OAK PARK AVE, CHICAGO, IL, 60707","-87.794959313886,41.916949732166",-87.794959313886,41.916949732166,605205376,R,17,031,17031,250500,1000,12
450079__2024__032,"1901 NORTH MACARTHUR BLVD, IRVING, TX, 75061",No_Match,,,,,,,,,,,,,3
030016__2023__209,"1800 EAST FLORENCE BLVD, CASA GRANDE, AZ, 85122",Match,Exact,"1800 E FLORENCE BLVD, CASA GRANDE, AZ, 85122","-111.710023802927,32.879637781033",-111.710023802927,32.879637781033,657423297,R,04,021,04021,001405,2011,12
210034__2024__046,"3001 SOUTH HANOVER STREET, BALTIMORE, MD, 21225",Match,Exact,"3001 S HANOVER ST, BALTIMORE, MD, 21225","-76.615344771921,39.251884720936",-76.615344771921,39.251884720936,657042913,L,24,510,24510,250203,1001,12
194044__2023__069,"2520 UNIVERSITY AVENUE, LAFAYETTE, LA, 70507",Match,Non_Exact,"2520 N UNIVERSITY AVE, LAFAYETTE, LA, 70507","-92.046606626387,30.270720256771",-92.046606626387,30.270720256771,638289295,R,22,055,22055,001001,6025,12
144028__2024__298,"1200 S FIRST AVE, HINES, IL, 60141",No_Match,,,,,,,,,,,,,3
210017__2023__272,"251 NORTH FOURTH ST., OAKLAND, MD, 21550",Match,Exact,"251 N 4TH ST, OAKLAND, MD, 21550","-79.402287438893,39.413745135119",-79.402287438893,39.413745135119,74180532,R,24,023,24023,000601,2008,12
050744__2023__059,"1025 SOUTH ANAHEIM BOULEVARD, ANAHEIM, CA, 92805",Match,Exact,"1025 S ANAHEIM BLVD, ANAHEIM, CA, 92805","-117.90892767357,33.820350106719",-117.90892767357,33.820350106719,609067585,R,06,059,06059,087405,2002,12
320091__2023__078,"2560 SAMARITAN DR, LAS CRUCES, NM, 88001",Match,Exact,"2560 SAMARITAN DR, LAS CRUCES, NM, 88001","-106.778252782591,32.334861329562",-106.778252782591,32.334861329562,652122699,L,35,013,35013,000102,1031,12
390180__2023__171,"ONE MEDICAL CENTER BLVD., UPLAND, PA, 19013",Match,Non_Exact,"1 MEDICAL CENTER BLVD, CHESTER, PA, 19013","-75.366533563489,39.857179785973",-75.366533563489,39.857179785973,134905415,L,42,045,42045,406300,2000,12
154055__2023__275,"4488 ROSLIN ROAD, NEWBURGH, IN, 47630",Match,Exact,"4488 ROSLIN RD, NEWBURGH, IN, 47630","-87.331795084919,37.991294072087",-87.331795084919,37.991294072087,32211269,R,18,173,18173,030501,1018,12
334067__2024__369,"7403 COMMONWEALTH BLVD, BELLEROSE, NY, 11426",Match,Exact,"74-03 COMMONWEALTH BLVD, BELLEROSE, NY, 11426","-73.727914781289,40.746930036001",-73.727914781289,40.746930036001,639416757,L,36,081,36081,156700,1000,12
390334__2024__208,"12351 PERRY HWY, WEXFORD, PA, 15090",Match,Exact,"12351 PERRY HWY, WEXFORD, PA, 15090","-80.060371866343,40.634110203261",-80.060371866343,40.634110203261,638350206,L,42,003,42003,409001,4007,12
173028__2023__081,"1151 N. ROCK ROAD, WICHITA, KS, 67206",Match,Exact,"1151 N ROCK RD, WICHITA, KS, 67206","-97.244707015108,37.704448739215",-97.244707015108,37.704448739215,115672862,L,20,173,20173,007301,2001,12
310050__2023__190,"25 POCONO ROAD, DENVILLE, NJ, 07834",Match,Exact,"25 POCONO RD, DENVILLE, NJ, 07834","-74.463231388377,40.894359748023",-74.463231388377,40.894359748023,657156419,L,34,027,34027,041300,2015,12
054154__2023__213,"455 SILICON VALLEY BLVD, SANN JOSE, CA, 95138",Match,Non_Exact,"455 SILICON VALLEY BLVD, SAN JOSE, CA, 95138","-121.772689717407,37.247983594526",-121.772689717407,37.247983594526,638047012,L,06,085,06085,512001,4025,12
670136__2023__098,"5245 W US 290, AUSTIN, TX, 78735",Match,Non_Exact,"5245 W US HWY 290 SVC RD, AUSTIN, TX, 78735","-97.833272945749,30.236061341105",-97.833272945749,30.236061341105,637859790,R,48,453,48453,032000,2006,12
381315__2024__332,"3325 POCAHONTAS RD, BAKER CITY, OR, 97814",Match,Exact,"3325 POCAHONTAS RD, BAKER CITY, OR, 97814","-117.847588213617,44.796104807065",-117.847588213617,44.796104807065,648303594,L,41,001,41001,950500,2002,12
100084__2024__027,"600 E DIXIE AVENUE, LEESBURG, FL, 34748",Match,Exact,"600 E DIXIE AVE, LEESBURG, FL, 34748","-81.869564599332,28.806639646249",-81.869564599332,28.806639646249,94157574,R,12,069,12069,030602,1042,12
400022__2023__147,"2213 PONCE BY PASS, PONCE, PR, 00717",No_Match,,,,,,,,,,,,,3
190081__2023__304,"706 ROSS STREET, OAK GROVE, LA, 71263",Match,Exact,"706 ROSS ST, OAK GROVE, LA, 71263","-91.38313596828,32.868144731198",-91.38313596828,32.868144731198,71255565,R,22,123,22123,000100,5007,12
