batch_id,provider_row_id,attempt_label,census_street,census_city,census_state,census_zip,cms_provider_number,provider_name,fiscal_year,closeout_action,candidate_method,suggested_fips,suggested_county_name
444025__2023__067,444025__2023,provider_original,9485 CRESTWYN HILLS COVE,MEMPHIS,TN,38125,444025,CRESTWYN BEHAVIORAL HEALTH,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,47157,"Shelby County, Tennessee"
454064__2023__068,454064__2023,provider_original,1636 HUNTERS GLEN RD,SAN ANGELO,TX,76907,454064,RIVER CREST HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48451,"Tom Green County, Texas"
194044__2023__069,194044__2023,provider_original,2520 UNIVERSITY AVENUE,LAFAYETTE,LA,70507,194044,ACADIA VERMILION HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,22055,"Lafayette Parish, Louisiana"
320090__2023__070,320090__2023,provider_original,4801 BECKNER ROAD,SANTA FE,NM,87507,320090,SANTA FE MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,35049,"Santa Fe County, New Mexico"
450880__2023__071,450880__2023,provider_original,1800 PARK PLACE AVENUE,FORT WORTH,TX,76110,450880,BAYLOR SURGICAL HOSPITAL AT FORT WOR,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,48439,"Tarrant County, Texas"
054089__2024__072,054089__2024,provider_original,302 SILVER AVENUE,SAN FRANCISCO,CA,94112,054089,JEWISH HOME FOR THE AGED,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06075,"San Francisco County, California"
340190__2023__073,340190__2023,provider_original,8201 HEALTHCARE LOOP,CHARLOTTE,NC,28215,340190,NOVANT HEALTH MINT HILL MEDICAL CTR,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,37119,"Mecklenburg County, North Carolina"
343025__2023__074,343025__2023,provider_original,68 SWEETEN CREEK ROAD,ASHEVILLE,NC,28803,343025,CAREPARTNERS REHAB HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,37021,"Buncombe County, North Carolina"
050708__2023__075,050708__2023,provider_original,6125 NORTH FRESNO STREET,FRESNO,CA,96710,050708,FRESNO SURGICAL HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,06019,"Fresno County, California"
301305__2024__076,301305__2024,provider_original,10 ALICE PECK DAY DRIVE,LEBANON,NH,03766,301305,ALICE PECK DAY MEMORIAL HOSPITAL,2024,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,33009,"Grafton County, New Hampshire"
320089__2023__077,320089__2023,provider_original,3001 BROADMOOR BLVD NE,RIO RANCHO,NM,87144,320089,UNM SANDOVAL REGIONAL MEDICAL CENTER,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,35043,"Sandoval County, New Mexico"
320091__2023__078,320091__2023,provider_original,2560 SAMARITAN DR,LAS CRUCES,NM,88001,320091,THREE CROSSES REGIONAL HOSPITAL,2023,spot_check_same_city_candidate_before_assignment,same_state_city_unique_matched_cms_rows,35013,"Doña Ana County, New Mexico"
